ID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Accession_Name,Country_of_Origin,Region,Alu.Tol,Flowering time at Arkansas,Flowering time at Faridpur,Flowering time at Aberdeen,FT ratio of Arkansas/Aberdeen,FT ratio of Faridpur/Aberdeen,Culm habit,Leaf pubescence,Flag leaf length,Flag leaf width,Awn presence,Panicle number per plant,Plant height,Panicle length,Primary panicle branch number,Seed number per panicle,Florets per panicle,Panicle fertility,Seed length,Seed width,Seed volume,Seed surface area,Brown rice seed length,Brown rice seed width,Brown rice surface area,Brown rice volume,Seed length/width ratio,Brown rice length/width ratio,Seed color,Pericarp color,Straighthead suseptability,Blast resistance,Amylose content,Alkali spreading value,Protein content
NSFTV292,-32.3209444449687,-5.320477417298675,-16.733939904231974,-0.22008669358951274,0.7034425158655873,0.8347761827543758,1.7826891418865005,-2.080379157635659,1.3393094009891358,-5.490462377541441,Stegaru 65,Romania,Europe,0.842,67.83333333,NA,NA,NA,NA,5.363636364,1,30.63636364,1.390909091,0,3.174575566,107.8181818,21.2,8.875,4.809964599,4.984229093,0.84,8.762516667,3.466158333,2.539478349,3.930791929,6.346681818,2.8852,3.519102699,7.179145455,2.528,2.2,light,light,4.333333334,8,17.53333333,6.833333334,9.95
NSFTV294,21.930136161426322,11.181953068617556,0.9987667925577245,-2.700797738776761,2.448546700691173,-11.544999229050536,8.580073045748108,5.551983377169967,-4.523278763351347,-1.7310557515881773,SL 22-613,Sierra Leone,Africa,0.44,85.66666667,79,96,0.892361111,0.822916667,7,1,27.26666667,1.166666667,1,3.326234343,107.25,24.15,10.16666667,5.047716969,5.305375731,0.773,8.383208333,2.685108333,2.005521372,3.648567963,6.130583333,2.23895,3.232901339,4.2059,3.122,2.738,light,light,8.168333334,1,16.39,7,6.5
NSFTV295,-30.855594041895603,-4.0315575771530305,-13.386306591686862,-0.8304780518880854,-2.408867217227283,-0.6703331190414007,-1.4320560598024066,1.2202932425346213,0.3786789098880947,-3.571762020175802,NA,NA,NA,0.639,78.75,76,80,0.984375,0.95,4,1,26.06666667,1.25,1,3.308106959,99.75,19.71666667,8.5,4.48863637,4.633109555,0.865,7.924941667,3.796775,2.609920272,3.912435087,5.645141667,3.196525,3.501670473,7.844866667,2.087,1.766,light,light,6.666666667,8,12.90333333,7,9.3
NSFTV390,5.370442320364341,10.362662610725174,3.9664976211125076,-0.374853185785959,4.867689762581285,-6.014524320108199,4.147490323802377,-0.8107485546982316,-2.8628130159056937,-0.3467881882745987,CI 11026,United States,America,0.686,91.25,NA,99,0.921717172,NA,3,1,34.95555556,1.477777778,1,3.208825489,120.1666667,31.6,12.44444444,4.529008825,5.21312252,0.505,8.814941667,2.829183333,2.144190978,3.738712725,6.562408333,2.453425,3.39365876,5.394341667,3.116,2.675,light,light,7.998333334,2,22.42,6.166666667,9.35
NSFTV620,46.90904367782551,16.540735914423404,-7.309536261765354,-2.1698859138798117,1.7524867431405602,-13.956635633769736,6.438464401516031,3.112688185919316,-1.3324032499267138,-1.0357023142770914,Jasmine85,Philippines,Pacific,NA,91.5,NA,NA,NA,NA,3,NA,32.41666667,1.383333333,0,3.428596356,110.1666667,28.8,11,5.177090909,5.372187215,0.823,9.744366667,2.65335,2.165137471,3.811940021,6.976166667,2.200366667,3.364948249,4.749816667,3.672,3.17,light,light,7.67,1,16.865,7,8.25
NSFTV623,44.23932739883552,18.54814502530982,-8.793537342569797,-1.1863535636497111,3.17685901933843,-6.839752074649416,8.989410857149288,2.3542058380974313,-6.747755326053037,-2.290535103335294,Shufeng 121-1655,China,E Asia,NA,90,NA,NA,NA,NA,4,NA,34.33333333,1.5,0,3.412247218,105.5,27.66666667,11,5.454608611,5.585999439,0.877,9.187516667,2.675216667,2.106371487,3.749415445,6.489466667,2.199116667,3.300417101,4.57365,3.434,2.951,light,light,NA,1,25.03,7,8.35
NSFTV624,-20.05595580950652,7.245183034118109,15.994094268061922,-2.4951264048643225,20.98651596234155,-0.5294483536294207,-6.199732093650538,4.894810733733501,1.1997137194994894,-4.100357398506137,Kaybonnet,United States,America,NA,86.5,NA,NA,NA,NA,3,NA,31.36666667,1.1,0,2.685577345,98.16666667,25.83333333,13.16666667,4.715518243,5.388310405,0.51,9.06872,2.35872,1.870422764,3.630290665,6.282583333,1.9258,3.161800231,3.82175,3.845,3.262,light,light,5.33,1,22.555,7,8.75
NSFTV625,-17.983270971311406,7.208023942806659,16.123273429756143,-2.6877282476207296,20.2521515816333,-0.4597873574910402,-5.127844902343092,4.855903577811286,1.19766393448555,-2.9792100899203664,Katy,United States,America,NA,85.5,NA,NA,NA,NA,3,NA,28.15,1.05,0,2.782951509,102.1666667,23.3,12.83333333,4.787491743,5.321382639,0.586,9.044283333,2.3568,1.838049155,3.608351559,7.144616667,2.046133333,3.265786764,3.884916667,3.838,3.492,light,light,7,NA,22.65666667,7,8.25
NSFTV626,46.69252340518938,15.590965960766992,-7.902547731006329,-0.011175288128443133,1.1142506534727898,-5.9748226238256,2.1836357526517522,-0.5399949058462302,-1.2316673747709714,-0.6273549580228089,C101A51,Philippines,Pacific,NA,90.5,NA,NA,NA,NA,9,NA,29.38333333,1.016666667,0,3.36729583,96.16666667,25.76666667,11.66666667,5.185521872,5.441695949,0.774,7.587733333,3.014233333,2.112721164,3.650801521,5.44586,2.5859,3.259402608,4.98508,2.517,2.106,light,light,6.33,NA,27.44,7,8.35
NSFTV627,-23.83377548619843,2.871584021968855,4.599391815726822,-2.3908746278317934,14.561542438691578,-0.2065087808558991,-4.030427425824955,0.6405707758711618,0.9522684341581459,-8.719262904714876,Early,United States,America,NA,62,NA,NA,NA,NA,3,NA,24.1,1.033333333,0,2.302585093,78.33333333,19.21666667,7.666666667,3.444682494,3.908684104,0.629,9.921,2.810216667,2.310857449,3.893308646,7.642616667,2.35835,3.504788833,5.789566667,3.53,3.241,light,light,5.67,NA,22.68333333,7,8.15
